,date,end_balance_fund2,end_balance_fund3,end_balance_combined,daily_return_combined,daily_drawdown_combined
174,2025-10-22,45940.26877824,46011.56168035,91951.83045859,0.0016359988706149409,-0.07670828932453139
175,2025-10-23,45937.048743960004,46029.412276480005,91966.46102044001,0.00015911115392741593,-0.07656138331503419
176,2025-10-24,45935.92905013,46044.08991347,91980.0189636,0.00014742269094147886,-0.07642524750924329
177,2025-10-25,45933.1257941,46107.26145767,92040.38725177001,0.0006563195882129946,-0.0758190873080047
178,2025-10-26,45707.65561216,46171.94407332,91879.59968548,-0.001746924052483445,-0.07743356117323241
179,2025-10-27,45723.052940780006,46174.33213205,91897.38507283002,0.00019357275620368597,-0.07725497744488766
180,2025-10-28,45800.5688928,46174.37596605,91974.94485885001,0.0008439825133057521,-0.07647619678161123
181,2025-10-29,45910.29712579,46174.37596605,92084.67309184,0.0011930230907817307,-0.07537441155948507
182,2025-10-30,46096.1862079,46174.37596605,92270.56217394999,0.0020186755935440726,-0.07350789245093378
183,2025-10-31,45501.92148428,46174.37596605,91676.29745032999,-0.006440458469296861,-0.07947492639173487
